gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Maintained,Maintained,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
version number,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9077; levenshtein=0.5385; semantic=0.9414; sequence_match=0.7000,False,0.8497,True,selected
programming language,Open Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5275; levenshtein=0.1579; semantic=0.5565; sequence_match=0.2069,False,0.4303,False,top-3 avg score 0.4303 < final_threshold 0.6
application programming interface,Software Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4848; levenshtein=0.1613; semantic=0.5835; sequence_match=0.2222,False,0.4302,False,top-3 avg score 0.4302 < final_threshold 0.6
Source code available,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4505; levenshtein=0.1579; semantic=0.5621; sequence_match=0.2778,False,0.4301,False,top-3 avg score 0.4301 < final_threshold 0.6
function,Maintenance Status,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5064; levenshtein=0.1765; semantic=0.5428; sequence_match=0.2400,False,0.4297,False,top-3 avg score 0.4297 < final_threshold 0.6
Maintained,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5333; levenshtein=0.1000; semantic=0.4548; sequence_match=0.3000,False,0.4294,False,top-3 avg score 0.4294 < final_threshold 0.6
software,Maintained,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4472; levenshtein=0.2000; semantic=0.5073; sequence_match=0.3333,False,0.4293,False,top-3 avg score 0.4293 < final_threshold 0.6
programming language,Collaboration Request,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5088; levenshtein=0.1500; semantic=0.4197; sequence_match=0.3590,False,0.4292,False,top-3 avg score 0.4292 < final_threshold 0.6
web service,Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5056; levenshtein=0.1667; semantic=0.5089; sequence_match=0.2727,False,0.4291,False,top-3 avg score 0.4291 < final_threshold 0.6
Free,Data Format Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5476; levenshtein=0.2143; semantic=0.4057; sequence_match=0.3333,False,0.4289,False,top-3 avg score 0.4289 < final_threshold 0.6
algorithm,Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.0000; semantic=0.5601; sequence_match=0.2500,False,0.4288,False,top-3 avg score 0.4288 < final_threshold 0.6
web service,Feature,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4651; levenshtein=0.3000; semantic=0.5209; sequence_match=0.2353,False,0.4287,False,top-3 avg score 0.4287 < final_threshold 0.6
software interface,Data Format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5611; levenshtein=0.2353; semantic=0.4894; sequence_match=0.1481,False,0.4286,False,top-3 avg score 0.4286 < final_threshold 0.6
data format specification,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5314; levenshtein=0.2174; semantic=0.5039; sequence_match=0.2500,False,0.4284,False,top-3 avg score 0.4284 < final_threshold 0.6
desktop graphical user interface,Unmaintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5642; levenshtein=0.1724; semantic=0.4768; sequence_match=0.2439,False,0.4283,False,top-3 avg score 0.4283 < final_threshold 0.6
CEL ASCII format,Collaboration Request,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5321; levenshtein=0.3000; semantic=0.3409; sequence_match=0.4118,False,0.4283,False,top-3 avg score 0.4283 < final_threshold 0.6
Open source software license,Collaboration Request,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6105; levenshtein=0.2800; semantic=0.3936; sequence_match=0.2667,False,0.428,False,top-3 avg score 0.4280 < final_threshold 0.6
software developer organization,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5702; levenshtein=0.2069; semantic=0.4335; sequence_match=0.2791,False,0.4276,False,top-3 avg score 0.4276 < final_threshold 0.6
XML,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.0000; semantic=0.6345; sequence_match=0.1667,False,0.4276,False,top-3 avg score 0.4276 < final_threshold 0.6
CEL binary format,Data Usage For Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5871; levenshtein=0.3125; semantic=0.3726; sequence_match=0.3226,False,0.4274,False,top-3 avg score 0.4274 < final_threshold 0.6
data format specification,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6205; levenshtein=0.1739; semantic=0.4188; sequence_match=0.2424,False,0.4272,False,top-3 avg score 0.4272 < final_threshold 0.6
Purchase cost,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5292; levenshtein=0.2632; semantic=0.4294; sequence_match=0.3226,False,0.4271,False,top-3 avg score 0.4271 < final_threshold 0.6
desktop graphical user interface,Software Type,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5225; levenshtein=0.2069; semantic=0.5516; sequence_match=0.1951,False,0.427,False,top-3 avg score 0.4270 < final_threshold 0.6
programming language,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5351; levenshtein=0.1053; semantic=0.5716; sequence_match=0.1739,False,0.4269,False,top-3 avg score 0.4269 < final_threshold 0.6
Maintained,License Permissiveness,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4468; levenshtein=0.1905; semantic=0.5112; sequence_match=0.3226,False,0.4269,False,top-3 avg score 0.4269 < final_threshold 0.6
desktop graphical user interface,Algorithm Usage Output,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5456; levenshtein=0.1724; semantic=0.4892; sequence_match=0.2449,False,0.4266,False,top-3 avg score 0.4266 < final_threshold 0.6
Open source software license,Collaborator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5789; levenshtein=0.1600; semantic=0.4301; sequence_match=0.2703,False,0.4264,False,top-3 avg score 0.4264 < final_threshold 0.6
licence,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5357; levenshtein=0.2143; semantic=0.4579; sequence_match=0.2857,False,0.4264,False,top-3 avg score 0.4264 < final_threshold 0.6
Not Free,Help Access,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4952; levenshtein=0.1000; semantic=0.5487; sequence_match=0.2353,False,0.4264,False,top-3 avg score 0.4264 < final_threshold 0.6
CEL binary format,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4963; levenshtein=0.2000; semantic=0.4492; sequence_match=0.3333,False,0.4263,False,top-3 avg score 0.4263 < final_threshold 0.6
web service,Help Access,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4222; levenshtein=0.1000; semantic=0.5562; sequence_match=0.3000,False,0.4261,False,top-3 avg score 0.4261 < final_threshold 0.6
data format specification,Collaboration Request,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5246; levenshtein=0.2174; semantic=0.3812; sequence_match=0.3721,False,0.426,False,top-3 avg score 0.4260 < final_threshold 0.6
file rendering,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5366; levenshtein=0.1429; semantic=0.4443; sequence_match=0.2963,False,0.4257,False,top-3 avg score 0.4257 < final_threshold 0.6
software developer organization,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.1724; semantic=0.5202; sequence_match=0.2051,False,0.4257,False,top-3 avg score 0.4257 < final_threshold 0.6
Development status,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5314; levenshtein=0.2941; semantic=0.4488; sequence_match=0.2963,False,0.4255,False,top-3 avg score 0.4255 < final_threshold 0.6
Purchase cost,Data Usage For Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5784; levenshtein=0.2500; semantic=0.4121; sequence_match=0.2857,False,0.4254,False,top-3 avg score 0.4254 < final_threshold 0.6
application programming interface,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4412; levenshtein=0.1290; semantic=0.6849; sequence_match=0.1500,False,0.4254,False,top-3 avg score 0.4254 < final_threshold 0.6
data format specification,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5789; levenshtein=0.1739; semantic=0.5066; sequence_match=0.1905,False,0.4253,False,top-3 avg score 0.4253 < final_threshold 0.6
Development status,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5715; levenshtein=0.1579; semantic=0.4264; sequence_match=0.2778,False,0.4252,False,top-3 avg score 0.4252 < final_threshold 0.6
software interface,Algorithm Usage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4944; levenshtein=0.2353; semantic=0.5459; sequence_match=0.1935,False,0.4252,False,top-3 avg score 0.4252 < final_threshold 0.6
Source code available,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5258; levenshtein=0.1579; semantic=0.5190; sequence_match=0.2308,False,0.4252,False,top-3 avg score 0.4252 < final_threshold 0.6
programming language,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4942; levenshtein=0.1053; semantic=0.6370; sequence_match=0.1429,False,0.4247,False,top-3 avg score 0.4247 < final_threshold 0.6
algorithm,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4741; levenshtein=0.1000; semantic=0.5885; sequence_match=0.2105,False,0.4244,False,top-3 avg score 0.4244 < final_threshold 0.6
web service,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4741; levenshtein=0.1000; semantic=0.5885; sequence_match=0.2105,False,0.4244,False,top-3 avg score 0.4244 < final_threshold 0.6
Maintained,Algorithm,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5278; sequence_match=0.1053,False,0.4241,False,top-3 avg score 0.4241 < final_threshold 0.6
software interface,Unmaintained,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4510; levenshtein=0.2353; semantic=0.4763; sequence_match=0.3448,False,0.424,False,top-3 avg score 0.4240 < final_threshold 0.6
data item,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.2222; semantic=0.5456; sequence_match=0.2353,False,0.4239,False,top-3 avg score 0.4239 < final_threshold 0.6
Not Free,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.6253; sequence_match=0.1818,False,0.4238,False,top-3 avg score 0.4238 < final_threshold 0.6
CEL binary format,Help Resource,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5833; levenshtein=0.2667; semantic=0.4200; sequence_match=0.1481,False,0.4233,False,top-3 avg score 0.4233 < final_threshold 0.6
.csv,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.6219; sequence_match=0.1667,False,0.4233,False,top-3 avg score 0.4233 < final_threshold 0.6
programming language,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3850; levenshtein=0.0526; semantic=0.7421; sequence_match=0.1429,False,0.4233,False,top-3 avg score 0.4233 < final_threshold 0.6
file rendering,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4949; levenshtein=0.2308; semantic=0.5139; sequence_match=0.2609,False,0.4232,False,top-3 avg score 0.4232 < final_threshold 0.6
file rendering,Open Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4859; levenshtein=0.1538; semantic=0.5227; sequence_match=0.2609,False,0.4232,False,top-3 avg score 0.4232 < final_threshold 0.6
PROcess,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.4906; sequence_match=0.2667,False,0.423,False,top-3 avg score 0.4230 < final_threshold 0.6
licence,Open Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4952; levenshtein=0.1000; semantic=0.5377; sequence_match=0.2353,False,0.4227,False,top-3 avg score 0.4227 < final_threshold 0.6
CEL binary format,Programming Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5265; levenshtein=0.1053; semantic=0.5062; sequence_match=0.2353,False,0.4226,False,top-3 avg score 0.4226 < final_threshold 0.6
version number,Maintenance Status,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4937; levenshtein=0.1176; semantic=0.5742; sequence_match=0.2000,False,0.4226,False,top-3 avg score 0.4226 < final_threshold 0.6
plain text file format,Collaboration Request,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6050; levenshtein=0.1500; semantic=0.3552; sequence_match=0.3077,False,0.4226,False,top-3 avg score 0.4226 < final_threshold 0.6
programming language,Community Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5237; levenshtein=0.0500; semantic=0.4865; sequence_match=0.2564,False,0.4222,False,top-3 avg score 0.4222 < final_threshold 0.6
plain text file format,Programming Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5313; levenshtein=0.1053; semantic=0.4718; sequence_match=0.2632,False,0.4221,False,top-3 avg score 0.4221 < final_threshold 0.6
Not Free,Data,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.6196; sequence_match=0.1818,False,0.4219,False,top-3 avg score 0.4219 < final_threshold 0.6
software interface,Collaborator,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5065; levenshtein=0.2353; semantic=0.5239; sequence_match=0.2069,False,0.4219,False,top-3 avg score 0.4219 < final_threshold 0.6
plain text file format,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5808; levenshtein=0.1579; semantic=0.3812; sequence_match=0.3030,False,0.4217,False,top-3 avg score 0.4217 < final_threshold 0.6
plain text file format,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5396; levenshtein=0.1579; semantic=0.4395; sequence_match=0.2857,False,0.4216,False,top-3 avg score 0.4216 < final_threshold 0.6
Not Free,Collaboration Request,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5071; levenshtein=0.2500; semantic=0.4612; sequence_match=0.2963,False,0.4215,False,top-3 avg score 0.4215 < final_threshold 0.6
algorithm,GIF Rendering,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4167; levenshtein=0.0833; semantic=0.5622; sequence_match=0.2857,False,0.4215,False,top-3 avg score 0.4215 < final_threshold 0.6
data item,Algorithm Usage Output,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.1500; semantic=0.4059; sequence_match=0.2857,False,0.4213,False,top-3 avg score 0.4213 < final_threshold 0.6
Development status,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5283; levenshtein=0.0556; semantic=0.4494; sequence_match=0.2857,False,0.4211,False,top-3 avg score 0.4211 < final_threshold 0.6
Source code available,License Permissiveness,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4757; levenshtein=0.0952; semantic=0.5370; sequence_match=0.2500,False,0.4209,False,top-3 avg score 0.4209 < final_threshold 0.6
.csv,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4841; levenshtein=0.1429; semantic=0.5785; sequence_match=0.2000,False,0.4209,False,top-3 avg score 0.4209 < final_threshold 0.6
CEL ASCII format,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6135; levenshtein=0.1579; semantic=0.4066; sequence_match=0.2424,False,0.4208,False,top-3 avg score 0.4208 < final_threshold 0.6
data format specification,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5564; levenshtein=0.1739; semantic=0.4893; sequence_match=0.2162,False,0.4206,False,top-3 avg score 0.4206 < final_threshold 0.6
algorithm,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4537; levenshtein=0.0000; semantic=0.6528; sequence_match=0.1538,False,0.4201,False,top-3 avg score 0.4201 < final_threshold 0.6
software developer role,Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5198; levenshtein=0.1905; semantic=0.4996; sequence_match=0.2400,False,0.4198,False,top-3 avg score 0.4198 < final_threshold 0.6
data item,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4167; levenshtein=0.2500; semantic=0.5094; sequence_match=0.3333,False,0.4198,False,top-3 avg score 0.4198 < final_threshold 0.6
GIF,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.1429; semantic=0.4209; sequence_match=0.2353,False,0.4198,False,top-3 avg score 0.4198 < final_threshold 0.6
function,Capability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4472; levenshtein=0.1000; semantic=0.5891; sequence_match=0.2222,False,0.4195,False,top-3 avg score 0.4195 < final_threshold 0.6
application programming interface,Unmaintained,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5078; levenshtein=0.2258; semantic=0.5181; sequence_match=0.2326,False,0.4195,False,top-3 avg score 0.4195 < final_threshold 0.6
programming language,Capability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4535; levenshtein=0.1579; semantic=0.5284; sequence_match=0.2759,False,0.4193,False,top-3 avg score 0.4193 < final_threshold 0.6
Source code available,Open Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5211; levenshtein=0.1579; semantic=0.5297; sequence_match=0.2069,False,0.4192,False,top-3 avg score 0.4192 < final_threshold 0.6
plain text file format,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5468; levenshtein=0.1579; semantic=0.4404; sequence_match=0.2703,False,0.4192,False,top-3 avg score 0.4192 < final_threshold 0.6
function,Collaborator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4306; levenshtein=0.0833; semantic=0.5267; sequence_match=0.3000,False,0.4191,False,top-3 avg score 0.4191 < final_threshold 0.6
Development status,Unmaintained,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4369; levenshtein=0.1176; semantic=0.5428; sequence_match=0.2759,False,0.4185,False,top-3 avg score 0.4185 < final_threshold 0.6
version number,Algorithm Usage Output,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5342; levenshtein=0.1500; semantic=0.5390; sequence_match=0.1818,False,0.4183,False,top-3 avg score 0.4183 < final_threshold 0.6
licence,Algorithm Usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.2143; semantic=0.4930; sequence_match=0.2857,False,0.4183,False,top-3 avg score 0.4183 < final_threshold 0.6
